"city","country","description","location","state","state_abbrev","longitude","latitude","city_longitude","city_latitude","",""
"Imperial Valley","United States","The canals of the Imperial Valley are said to be the home of La Llorona, which in English means The Crying Lady. She was said to be Malinche, the wife of the Spanish conquistador Cortez. An Indian maiden who was taken by lust during his stay, who also bore him 2 children. It was when Cortez was to return to Spain and told Malinche that he would take the children and not her back to Spain that she temporarily went insane and killed her own 2 children to prevent Cortez from taking them. She then disposed of their bodies in a nearby river. It is said, that after death she is supposed to walk along the canals and rivers crying looking for her lost dead children. Reports describe her as a long slender ethereal woman dressed in a white tattered dress. Reports have come from all over the Imperial Valley.","Along the canals and streams","California","CA","-115.530885","32.763176","-114.9633007","32.7375477","",""
"El Centro","United States","It is said that if you drive along this road after midnight occasionally you will see a girl walking alongside the road. If you stop to give her a ride she will get in, sit down, remain silent and eventually dissipate. However, it is also said that if you do not give her a ride, she will sit on top of your hood and try to make you crash. Stories say she died in a grisly accident along that road.","Dogwood Rd.","California","CA","-115.5351676","32.767604","-115.5630514","32.792","",""
"El Centro","United States","The Imperial Arts council formerly the old Post office Pavilion now head of the Imperial Valley Arts Council. This building is located on the center of the city of El Centro between the 5th and Brighton streets. The building has a beautiful architectural baroque Italian renaissance construction style built back in 1920 housing the valleys local cultural events. A wide 800 square foot basement is found underneath housing possibly a ghost or unexplained disturbance according to the buildings employees whom claim at that at early evenings loud noises are heard from the basement like slamming of doors regardless they are fastened with heavy sand bags impossible to be ""opened"" and scratching noises on walls. It is claimed also that these disturbances may be the cause of hearing the tapping sound of an old typewriter as well. This would be a interesting story to inv estigate to prove its authenticity and determine if there is a haunting or if it is a poltergeist. The building is recorded as one of the most historical buildings in the state to be served. For more information it is recommended to get in contact the local El Centro Chamber of Commerce or City of El Centro Business Council.","Imperial Valley Arts Council","California","CA","-115.55619","32.792537","-115.5630514","32.792","",""
"El Centro","United States","Gymnasium - Witnesses have reported that the High School's gym is haunted. Many times after school, a basketball being bounced as if someone was playing, and accompanied by the sounds of fans cheering. No one really knows the origin of the basketball game.","Central Union High School","California","CA","-115.5637765","32.7887209","-115.5630514","32.792","",""
"El Centro","United States","Library and Library basement - Inside the actual library building itself it is almost impossible to go a night without hearing doors slamming, soft to hard footsteps, and people talking in the rows in the back of the library. Also, the basement of the library is a dark, damp, maze of rooms and hallways that was once used for detention back in the early and late 80's. It was affectionately called the dungeon for footsteps, crying, and laughing were often heard.","Central Union High School","California","CA","-115.5637765","32.7887209","-115.5630514","32.792","",""
"Imperial","United States","Cemetery - A light from the cemetery is seen every night. At some angles it is green, others its orange. It looks like its moving - like someone is carrying it.","Sunset Ranch Estates","California","CA","-115.565888","32.8589665","-115.5694391","32.8475528","",""
"Kelso","United States","when the place was abandoned and closed down you could see a man walking upstairs. It has been told that many of years ago a man hung himself in room #6 and to this day is a strange stain on the wall in that room.","Kelso Depot","California","CA","-115.6532007","35.0121516","-115.6536072","35.0124884","",""
"Amboy","United States","The teachers and students have experienced someone coming in the front door, but when they look out into the hall from the classroom, there is no one there. Also, on windless days, the swings out on the back playground would swing on their own. Down in the gym at night, when students play basketball, items would relocate themselves. A broom standing against the wall would be seen standing against another wall. This, of course, went unseen by the students, until they looked to see the broom was in a new location. The teacher, working down in the school at night, on numerous occasions, experienced something watching her. One night she had to abandon her lesson preparations and hurry out of the classroom. It was said that several Indians working on the nearby railroad (1868) died, and that their ghosts roam the town. The school was closed in 1999.","Amboy School","California","CA","-115.7436691","34.5586082","-115.7444411","34.5577721","",""
"Coachella Valley","United States","The backstage of the auditorium is known for its strange noises of pages being flipped and books being knocked down which are stared behind the stage so reported from drama students.","Coachella Valley High School","California","CA","-116.200257","33.6432128","-116.3591772","33.7666873","",""
"Indio","United States","Indio High has been around since the early 60's. A former caretaker reports many experiences. One occurred late one rainy night in the front entrance of the school, it is an open space with a once fountain turned garden in the 90's. One Rainy night he was out doing his job cleaning up classrooms and campus when from the corner of his eyes he saw two figures in the distance sitting at the fountain talking and kissing. He thought this was odd considering its near midnight, it's raining, and at the time the school was practically in the middle of the desert. So with out taking his eyes off of them he began to approach them to ask them if they might need a ride or shelter from the rain. As he got half way near the fountain the male figure wearing a varsity jacket turned to him, the girl wearing a pretty prom like dress stood up and turned towards the caretaker, that's when he realiz ed they hadn't been affected by the rain... there clothes were completely dried and puffy! They faded away and disappeared. In the late 1970's or early 80's a group of students were returning home from prom night, the driver didn't see a ditch in the road and hit it, the car flipped killing 2 girls, 2 boys, and leaving the fifth person in the car in coma for several years when she finally came-to she was left a vegetable. Later she died at the age of 27 in her home. If you want to research this info your welcomed to do so at the Indio Library, and Indio High School library.","Indio High School","California","CA","-116.2391738","33.7133553","-116.2155619","33.7205771","",""
"La Quinta","United States","Employees claim to hear a little girls laughter late at night when the stores closed and they've also heard toys falling off the shelves.","Wal-Mart","California","CA","-116.2810781","33.7036013","-116.3100095","33.6633573","",""
"Riverside","United States","Palm Desert High School - It is reported of a young girl walking around at night around the pool. it was said that she drowned in 1990 and has never left her school hoping to one day swim on a team again.","Palm Desert","California","CA","-116.3744556","33.7222445","-117.3961564","33.9533487","",""
"Armagosa","United States","haunted by several ghosts who were residents during the borax mining. The hotel workers have pictures of orbs and many stories as well as some documentaries have been filmed on the hauntings.","Armagosa hotel and opera house","California","CA","-116.414663","36.3022031","-117.6917245","33.5382534","",""
"Death Valley Junction","United States","Anomalies such as ecto-mist and orbs recorded on film.","Amargosa hotel","California","CA","-116.414663","36.3022031","-116.410599","36.300308","",""
"San Diego","United States","Across from one of the campsites, in a wooded area, there appears the ghost of a young woman in a long white dress. There is a cold and eerie presence near the boulders that lie beneath the trees, and her apparition has been seen on two occasions by two different men. The first sighting occurred on a warm July night around 9:00 p.m. A group was setting up camp when one of the men ventured over to the dark area and found the young lady looking at him. He was startled and turned away. When he turned back, she had vanished but he could still feel her presence. The second sighting occurred around 3:00 a.m., a couple of days later. Another man from the same group of campers got out of his tent after being awakened from a deep sleep by an unknown presence. He looked over his tent and saw the lady pacing. She stopped, looked right at his face, then continued to pace as if she were waiting for someone. The man went to wake up his friends, but by the time he woke anyone she had vanished. Not being able to sleep after the sighting, he decided to stay awake with another camper and start a campfire. In the distance, they could hear the voice of a woman laughing and singing. There seemed to be no explanation for it at that time of the morning. On other occasions the same campers have heard heavy footsteps around their tents during the night that do not fade as if someone were walking away, but simply lift and disappear. In a photo taken of one of the campers in this area, there appears a large orb floating right next to him.","Lake Morena Campground","California","CA","-116.5214263","32.6852445","-117.1610838","32.715738","",""
"Idyllwild","United States","McNeale Hall - The main boys dorm at Idyllwild Arts Academy has been reported to be haunted. Some of the occurrences have been: hearing running in the hall after lights out, hearing strange voices, items being moved, as well as being touched by something when no ones there.","Idyllwild Arts Academy","California","CA","-116.7468108","33.733713","-116.7152556","33.7467471","",""
"Cabazon","United States","there's a road where you can park your car at the bottom and it rolls uphill steadily.","Morongo Indian Reservation","California","CA","-116.7872399","33.9175154","-116.7872399","33.9175154","",""
"Calico","United States","Apparition of an old school teacher has been encountered.","School House","California","CA","-116.8651899","34.9509908","-116.8653421","34.9455639","",""
"San Bernardino","United States","People have claimed to see the ghost of Wyatt Earp walk down the dust roads of calico tipping his at a them when he walks by . People have also said that the old mine tunnel is haunted by the men who have died while trying to seek there fortune, some employees have said that they have see a man with a pick ax warning them not to walk threw visitors have reported many different sightings","Calico Ghost Town","California","CA","-116.8653421","34.9455639","-117.2897652","34.1083449","",""
"San Diego","United States","Students in the band room have reported instruments in cases being ejected out of lockers (locked with combination locks) And their cases being flung open during private tutoring sessions","Ramona High School","California","CA","-116.8688937","33.0262922","-117.1610838","32.715738","",""
"Forest Falls","United States","Many sightings of the ""Ghost Children"" have occurred over the years in the forest that surrounds the school and the fenced old school that remains on the same property. Most children who attend the school seem to accept their presence. It's not uncommon to hear the children address them by name. The old school a great historical landmark, is securely fenced and prohibits any public admission.","Fallsvale Elementary School","California","CA","-116.9188285","34.0878916","-116.9203046","34.0883449","",""
"Hemet","United States","The resident ghost of the theatre, Christine, has left messages on the walls and on the roof. She has also been seen onstage and in the backstage areas. Usually she is personified as a white blurry figure that people see wandering the stage.","Hemet High School Theatre","California","CA","-116.9337931","33.7291584","-116.9719684","33.7475203","",""
"Banning","United States","There are reports of a little boy that appears in the break room at the back of the store. Legend says that the little boy came into the store with his mother and wanted a pair of shoes really bad. His mother didn't buy it for him and he was quite upset. Ran out the store and was hit by a car. This store has not kept employees for long because each time a new employee sees the apparition, they just quit without telling anyone. It is said that the boy appears right before the store opens and right before it closes at night.","Payless Shoe Source","California","CA","-116.9462738","33.9227784","-116.8764103","33.9255713","",""
"Valley Center","United States","Dead Indians can be seen chasing buffalo with spears. have been heard as well.","Indian burial grounds","California","CA","-116.9472169","33.2786835","-117.0341967","33.2183701","",""
"El Cajon","United States","Balls of light strange smoke smells. This is so real ghost hunters will flock. The pictures the submitter recorded may not amaze you but they invite you to see what they see every night. The balls of light show every night.","Chase","California","CA","-116.957529","32.779774","-116.9625269","32.7947731","",""
"Hemet/San Jacinto","United States","In the late 1800s the San Jacinto Valley (Hemet & San Jacinto) was the home of Ramona and Alessandro (Helen Hunt Jackson). When Alessandro was shot and killed Ramona cursed the valley saying that no one born here would ever be able to leave. There were only three routes out of the valley back then. A fourth was added in later years. To this day anyone born and raised in the valley that has left by way of one of the original three ""exits"" has said to experienced an irresistible urge to return and once they do they end up in a financial position preventing them from leaving again. But those who have left by way of the fourth route manage to stay gone.","Entire Valley","California","CA","-116.9590041","33.7569198","-116.9590041","33.7569198","",""
"Hemet","United States","Strange lights have been seen accompanied by strange electrical feelings.","Santa Fe Menlo Cemetery","California","CA","-116.9601223","33.7604185","-116.9719684","33.7475203","",""
"San Diego","United States","One of the Mobil home spaces - In one of the spaces There is said to be an old man that appears occasionally in the house where 2 old people live; a women and a man. Once when the man who lived there was saying a prayer the ghost would get really mad and start throwing stuff off the shelf. Then when the man was out of the house the woman thought that he was back and she heard the doorknob starting to twist but not open so she went to look and no one was there. Another time was when the man was fixing up his car he saw the ghost and said hi because he thought that it was a person who lived in there park. He put his screwdriver down looked back at it and it wasn't there he looked down the street and up the street and the ghost was nowhere in sight. Still to this day they see the ghost he is very pale and you can only see his upper body.","El Cajon","California","CA","-116.9625269","32.7947731","-117.1610838","32.715738","",""
"San Diego","United States","Rios Canyon - The ghosts of two cowboys can be seen at the back end of the canyon on the old dirt road. Some say ""they're looking for the lost gold"".","El Cajon","California","CA","-116.9625269","32.7947731","-117.1610838","32.715738","",""
"Beaumont","United States","There are various types of encounters. Some are cold spots, noises, and eerie feelings, also sometimes you can feel a hand touch you. The cemetery is not visited heavily and sometimes when alone you can see a groundskeeper walking around. However when you try to approach him, he walks into one of the sheds and disappears. When you approach the shed, the door is open and you can knock or call out and you get no response. On one occasion 2 witnesses to this stepped inside to find nobody there. Also, if going at night be sure to go in groups, the residents see to be more forward then. The cemetery is located at the south end of Pennsylvania street, past the railroad tracks. - As we always state, please have respect for the cemeteries, and the families that visit them, check with local authorities for permission before investigating.","Sunnyslope Cemetery","California","CA","-116.965058","33.9192683","-116.977248","33.9294606","",""
"Carlsbad","United States","In theater 3 a female usher was scared out by a rolling trashcan rolling up the hall way while cleaning. The girl also heard a name being whispered in the theater. when she came out to see if it was another employee doing the whispering everyone else was busy. She then started crying and then quit the next day. In theater 4 (the big theater) an usher was cleaning the theater when a large piece of ceiling almost hit him and fell a couple feet from him.","Plaza Cinema 4","California","CA","-116.967599","32.805374","-117.3505939","33.1580933","",""
"Eastlake","United States","Proctor Valley Road - Haunted by a ghostly figure of a woman wearing a long white dress is occasionally seen walking along the side of the road. People who have pulled over to offer a ride, look back to discover she has disappeared.","Chula Vista","California","CA","-116.976412","32.6556653","-116.976412","32.6556653","",""
"San Jacinto","United States","Feathers and Fur - Sounds and sightings. Shadows that appear in several different places and then disappearing. An occasional voice that sounds like somebody whispering. Also sighted, an old guy with a military type of uniform on who staggers through the walkways and seems to appear under certain situations usually at night.","Lauis's Pet Store","California","CA","-116.9770025","33.7727595","-116.958635","33.7839084","",""
"San Diego","United States","In the boys locker room, showers sometimes turn off and on by themselves. The boy's bathroom in the gym's front room has been reported to have loud whispering coming from it when no one is inside, and a malevolent force is often felt in the bathroom. In the gym, cold spots are often felt on the bleachers, and at times you can feel a hand grab your ankle or shoulder, even if you are alone.","Bonita Vista High School","California","CA","-116.9992226","32.6471172","-117.1610838","32.715738","",""
"Yucaipa","United States","it is a 18,000 sq. foot mansion where 4 young girls once lived and 1 scary night the pool boy, Fredrico, got very jealous of the older sister dating the Gardner, Pedro. So one night he got extremely upset and horny so he took the 4 sisters and stabbed them. He threw them out the top bedroom window down into the pool below. And there is where there bodies and spirits lay till this day. If you swim in the pool then they will drag u down to the bottom but not for dead.","Wildwood High Lands","California","CA","-116.9997225","34.0198292","-117.0430865","34.033625","",""
"Yucaipa","United States","Legend says that a group of teenagers had an accident at this particular location caused by a curse on the area. There had been an old woman who lived just above this location who locals claimed she was a witch. She had put a curse on the area and these teenagers were killed. You can park your car in this spot and the kids are pushing you out of harms way up hill and gaining speed. You can still see the stairs that had led to her house. - June 2008 Correction - This is an optical illusion.","Oakglen rd.","California","CA","-117.0155747","34.0485277","-117.0430865","34.033625","",""
"Yucaipa","United States","Is haunted by a woman who died of a car accident there in the 1950`s.It is said she crawled out of the car to get out and get help ,police found her 1/2 a mile away dead in the street. She is also known as the red lady of Pendleton Rd.","Pendleton Rd.","California","CA","-117.0191978","34.0417449","-117.0430865","34.033625","",""
"Yucaipa","United States","The ghost of Jamie Petersen is said to haunt the park. She was a girl who would sit at the park all hours of the day talking to squirrels. Then one day they found her mysteriously dead by the cross. Her ghost has been reported to wander the grounds asking to be smoked out.","Flaghill park","California","CA","-117.0290199","34.0336006","-117.0430865","34.033625","",""
"San Diego","United States","Bonita rd - Reports of an older man appears in the backseat of the witnesses' cars. He is said to be the ghost of a man that was run over here.","Bonita","California","CA","-117.0352904","32.6583258","-117.1610838","32.715738","",""
"Yucaipa","United States","is a haunting story that is told at mill creek about a boy named Anthony Garcia he was walking his dogs one day and his dog turned on him an dragged him in the water pulling him by the neck but right before dying he screamed out the name to his gay lover David. it is said that the ghost screams out the name of the one he loved.","Mill Creek","California","CA","-117.0444497","34.081778","-117.0430865","34.033625","",""
"Baja","United States","About in the seventies, it is told by former nurses and employees that in the fourth floor of the Hospital del Sagrado Corazón (Sacred Heart Hospital)a young girl possessed by the devil was interned for several weeks, until she dies there. It is also said that an exorcism took place in her room, which was about the middle of the corridor to the east. The hospital was owned by a local company that sold the building, which is located in Reforma Avenue in downtown Mexicali, and it is now a hotel. The floor where it's supposed to have taken place the possessed case is often colder tan the actual weather and the spot near the door of the room is darker than others places. But the local church and the companies involved denied the case.","Hospital del Sagrado Corazón","California","CA","-117.0458512","32.5271023","-115.2837585","30.8406338","",""
"Lemongrove","United States","After an employee named Rudy died during his shift, strange things started happening are security backdoor would open by itself after closing. Feeling of not being alone. Dishes being cleaned when no one was around. Other reports such as flickering lights, cold spots, and items disappearing then reappearing somewhere else.","Kentucky Fried Chicken","California","CA","-117.046774","32.7427958","-117.0314172","32.7425516","",""
"Chula Vista","United States","You can hear screams at night, children crying, and playing. Allegedly A sailor Came home from seas crazy and killed his wife, son, and daughter. When near the property you feel chills and a sense of dread. The house burnt down a few years back but the haunting is still there. All you can see now is the chimney standing in the middle of the fenced in yard.","Hilltop Road","California","CA","-117.0597235","32.6244451","-117.0841955","32.6400541","",""
"San Diego","United States","Floating lights can be seen late at night in the football stadium .Witnesses have heard screaming and then saw balls of floating lights came towards them. chasing them until they got to the front of school near the main office. Reports of voices in the bathrooms as well.","Montgomery High School","California","CA","-117.0647042","32.5855988","-117.1610838","32.715738","",""
"Yucaipa","United States","Reports of four kids walking around the housing development at night time and there is a golf course right next to it and it targets late golfers or any one on a golf cart late at night and all four kids have been seen in white clothes in the corner on peoples eyes but when you look they disappears. It also is said to shake or mess with the golf cart you are in.","Chapman Heights","California","CA","-117.0816788","34.0408997","-117.0430865","34.033625","",""
"San Diego","United States","Procter Valley - park in dirt parking next to fence you'll see a lady in white floating across the field and glowing you'll often here somebody throwing rocks at you too.","Chula Vista","California","CA","-117.0841955","32.6400541","-117.1610838","32.715738","",""
"Temecula","United States","In the women's restroom a customer saw an old Indian women in the mirror behind her. As she stepped aside, the Indian women pushed her on the shoulder lightly. When she turned to face the women, she heard laughter and the Indian women disappeared. She told one of the employee's and they said they heard similar stories too. The Indian women is not mean-just playful.","McDonalds","California","CA","-117.1029152","33.479478","-117.1483648","33.4936391","",""
"Imperial","United States","If you go out there late at night, you get the feeling of being watched, It Feels so much colder once you enter the grounds, there are really weird warm and cold spots in the graveyard, seems kind of unnatural. It makes you want to leave right away. Stories of people taking photo's out there and getting weird lights in them. Also of a monk like figure by the entrance. Sometimes 1 to 3 shadow hooded figures, are seen late at night by the front entrance to the left by the brick triangle, there are cold spots in the same area. You get a eerie feeling of impending doom and of being watched and not being welcomed. Weird lights have been seen there floating across the graveyard from greenish blue to fire like red. A flame like mist has been seen coming out of grave sights and then going back into the ground. Camcorders sometimes turn off even though fully charged. It is ve ry unsettling.","Imperial Historic Cemetery","California","CA","-117.1154829","32.7054457","-115.5694391","32.8475528","",""
"Redlands","United States","An apparition a boy believed to be a senior who was killed the night before graduation. He has been seen around the school area.","Redlands East Valley High School","California","CA","-117.1287357","34.0618322","-117.1825381","34.0555693","",""
"San Diego","United States","Janitors claim to see children running throw the hallways at night. and When the Janitors try to go home after there shift is over the doors wont open they say it feels like someone is on the other side pushing the door. They also say there's cold spats and hear children crying","Brooklyn Elementary School","California","CA","-117.1303096","32.7192182","-117.1610838","32.715738","",""
"Redlands","United States","September 2004 Update - reported as an Urban Myth - In the late 50's or early 60's, a little boy named Billy was hit by a school bus. He was immediately taken to the nurse's office where he died. As he was dying, he expressed his desire to get back to school. Legend says that if you knock on the nurse's door, he will knock back or you will hear him walking in the room. Sometimes he will want you to play with him on the playground, but if you refuse, he will pick on you. We hopped the fence and searched for the office. When we found it, we knocked, only to hear a very loud shuffling sound emanate from the room. Whether it was a ghost or custodian, we didn't care. We booked it back to the car and took a quick picture in front of the school sign that read, "" Welcome to Mariposa Elementary, Where All Our Children Grow."" - The police will be called if the neighbors see trespassers.-","Mariposa Elementary","California","CA","-117.1334609","34.023025","-117.1825381","34.0555693","",""
"Southeast San Diego County","United States","strange lights on the road. They appear to be spherical and emanate an ""electric blue"" like light. Sometimes there is only one and at other times they are in pairs.","Highway 94.","California","CA","-117.1439048","32.7130855","-117.1610966","32.7157305","",""
"Temecula","United States","Under the 15 freeway is a bridge where graffiti artist from around the world come to paint. many stories are told about a painter shot by police. Sightings of a man in a hooded sweat shirt and the noises of a rattling paint can have been reported.","The Gallery","California","CA","-117.1440078","33.4873031","-117.1483648","33.4936391","",""
"San Diego","United States","On K Street, near Barrio Logan. Built in 1887 for a musician named Jesse Shepherd. The house has a very dark, heavy feeling. After Jesse Shepherd's death, the house went through a succession of owner's, all of which claimed bad things happened to them while in possession of the house. Shepherd had once enjoyed wealth and fame, but at the end of his life, he was very poor and emotionally unstable. The house is said to be haunted by Shepherd himself and an elderly widow who previously owned the house. She is seen looking out of the window in one of the towers. Reason for Shepherd’s haunting said to be the fact that Shepherd was known for being able to ""channel"" famous piano players while playing and was once reported to be playing Mozart with one hand and Chopin with the other. It is believed that while channeling the great composers, he channeled some negative energy into the house. Beautiful stained glass portraying pictures of famous composer, writers, and artists. In some of these, hair seems to be turning gray and beards seem to be growing. Strong presence is felt, and reports of seeing scenes the past (1800s some time). It feels like something was actually looking out the window, through your eyes. It was a very uncomfortable, evil feeling. There are tours in this place.","Villa Montezuma","California","CA","-117.146077","32.708115","-117.1610838","32.715738","",""
"San Diego","United States","In this small Japanese grocery store an elderly customer suffered a heart attack and died in the store. Sometimes objects fall from the shelves on their own and with no explanation; one manager while there in the middle of the night heard strange noises and his name whispered several times.","Nijiya Market","California","CA","-117.1539653","32.8141393","-117.1610838","32.715738","",""
"San Diego","United States","Strange things would happen during the dead of night while McDonald workers would be closing and preparing for the next day. Tubs of Mustard, straws, etc. would be thrown across and scattered the next morning. In one of the bathroom stalls, there would be a picture of the devil create from the wood grains of the stall door. The door has been replaced due to too many visitors wanting to see the ""face"".","McDonalds on Miramar Rd.","California","CA","-117.159597","32.8804286","-117.1610838","32.715738","",""
"San Diego","United States","Located in downtown San Diego has 1 or more haunted rooms. Temperature changes and sightings","Horton Grand Hotel","California","CA","-117.1612631","32.7103402","-117.1610838","32.715738","",""
"San Diego","United States","This hotel was built in 1910, and apparently a man walks the hallways of the hotel, and at times goes into the rooms and makes noises.","U.S Grant Hotel","California","CA","-117.1615416","32.7160596","-117.1610838","32.715738","",""
"San Diego","United States","Taco Bell - employees have reported whispers coming from the bathroom. Trash doors swinging one time at closing there was three closers one manager and two crew one of the crew members was washing dishes he seen some one who he thought was a employee walk behind him and go in the walk-in freezer"" so the employee thought he would play a joke on the employee as he held the door tightly the door was moving like there was some one in there when three minutes went by then the employee let go of the door. he went to go see if the manager was coming but he was shocked to see both the manager and the employee was working he was really scared he had goose bumps.","Mission Valley","California","CA","-117.1623501","32.7670907","-117.1610838","32.715738","",""
"Redlands","United States","Merriam Hall - The ghost of a man in army clothing wanders the halls of Merriam, a dormitory. He is known for sitting in the bathroom stall next to yours late at night. Many have reported seeing boots in the next stall when in fact; there was no one in there but them. At night, when some girls are brushing their hair in the mirror, they see the reflection of a man wearing army clothing.","University of Redlands","California","CA","-117.1632426","34.0630404","-117.1825381","34.0555693","",""
"San Diego","United States","Reports of orbs and an apparition of a man with a missing arm standing behind the gates. IF you want to see the video go to Youtube.com and search Questhaven.","San Marcos/Elfin Forest – Questhaven Asylum","California","CA","-117.164745","33.0888562","-117.1610838","32.715738","",""
"San Marcos","United States","The ghosts of former inhabitants have been spotted on the grounds.","Questhaven","California","CA","-117.165765","33.0794813","-117.1661449","33.1433723","",""
"San Diego","United States","Solar Turbines - Harbor Drive near San Diego Airport and Kearny Mesa on Ruffin Rd: Global power company built in the 1880's. Apparitions have been seen in the engineering factory areas. These apparitions are said to be devoted workers who have long since passed on but will never ""retire."" Office areas have been reported to have unintelligible whispers, elevators moving with no one pushing a call button, sounds of doors opening/closing, etc. NOTE: This is a secure industrial facility. Access is restricted.","Downtown","California","CA","-117.1661194","32.7167272","-117.1610838","32.715738","",""
"Temecula","United States","A black spirit has been seen in the embalming room of this funeral home. Many other strange experiences have occurred such as lights turning on and off, knockings at doors and ghostly whispering.","Stout Family Funeral Home","California","CA","-117.1690768","33.5286933","-117.1483648","33.4936391","",""
